; Field Size: x, y
18 10
; Traveller position: x, y, Orientation
9 6 0
; A set of special Fields: x, y, Bar, Color, Symbol, Symbol1, Point
0 0 0 0 $ Z  
0 1 0 0 $ Z  
0 2 0 0 $ Z  
0 3 0 0 $ Z  
0 4 0 0 $ Z  
0 5 0 0 $ Z  
0 6 0 0 $ Z  
0 7 0 0 $ Z  
0 8 0 0 $ Z  
0 9 0 0 $ Z  
1 0 0 0 $ Z  
1 1 0 0 $ Z  
1 2 0 0 $ Z  
1 3 0 0 $ Z  
1 4 0 0 $ Z  
1 5 0 0 $ Z  
1 6 0 0 $ Z  
1 7 0 0 $ Z  
1 8 0 0 $ Z  
1 9 0 0 $ Z  
2 0 0 0 $ Z  
2 1 0 0 $ Z  
2 2 0 0 $ Z  
2 3 0 0 $ Z  
2 4 0 0 $ Z  
2 5 0 0 $ Z  
2 6 0 0 $ Z  
2 7 0 0 $ Z  
2 8 0 0 $ Z  
2 9 0 0 $ Z  
3 0 0 0 $ Z  
3 1 0 0 $ Z  
3 2 0 0 $ Z  
3 3 0 0 $ Z  
3 4 0 0 $ Z  
3 5 0 0 $ Z  
3 6 0 0 $ Z  
3 7 0 0 $ Z  
3 8 0 0 $ Z  
3 9 0 0 $ Z  
4 1 0 0 $ Z  
4 2 0 0 $ Z  
4 3 0 0 $ Z  
4 4 0 0 $ Z  
4 5 0 0 $ Z  
4 6 0 0 $ Z  
4 7 0 0 $ Z  
4 8 0 0 $ Z  
4 9 0 0 $ Z  
5 2 0 0 $ Z  
5 3 0 0 $ Z  
5 4 0 0 $ Z  
5 5 0 0 $ Z  
5 6 0 0 $ Z  
5 7 0 0 $ Z  
5 8 0 0 $ Z  
5 9 0 0 $ Z  
6 3 0 0 $ Z  
6 4 0 0 $ Z  
6 5 0 0 $ Z  
6 6 0 0 $ Z  
6 7 0 0 $ Z  
6 8 0 0 $ Z  
6 9 0 0 $ Z  
7 4 0 0 $ Z  
7 5 0 0 $ Z  
7 6 0 0 $ Z  
7 7 0 0 $ Z  
7 8 0 0 $ Z  
8 5 0 0 $ Z  
8 6 0 0 $ Z  
8 7 0 0 $ Z  
9 6 0 0 $ H 1
; End Of File
